counter,step,timestamp,customerID,orderID,productID,return_reason,return_status,email
1,RMA Requested,"""2020-01-09T09:38:27.000Z""",C-54054,O-5050-24,13,Wrong Size,,rene.winter@sealine.biz
1,RMA Issued,"""2020-01-09T09:50:27.000Z""",C-54054,O-5050-24,13,Wrong Size,,rene.winter@sealine.biz
1,ASN Received,"""2020-01-09T13:50:27.000Z""",C-54054,O-5050-24,13,Wrong Size,,rene.winter@sealine.biz
1,Item Received,"""2020-01-14T13:50:27.000Z""",C-54054,O-5050-24,13,Wrong Size,,rene.winter@sealine.biz
1,Item Inspected,"""2020-01-20T13:50:27.000Z""",C-54054,O-5050-24,13,Wrong Size,Return Accepted,rene.winter@sealine.biz
1,Customer Sat,"""2020-01-20T13:57:27.000Z""",C-54054,O-5050-24,13,Wrong Size,Return Accepted,rene.winter@sealine.biz
1,Return to Stock,"""2020-01-20T13:58:27.000Z""",C-54054,O-5050-24,13,Wrong Size,Return Accepted,rene.winter@sealine.biz
2,RMA Requested,"""2019-05-09T05:18:06.000Z""",C-84682,O-7337-48,19,Wrong Size,,chloe.porras@hassifix.eu
2,RMA Issued,"""2019-05-09T05:26:06.000Z""",C-84682,O-7337-48,19,Wrong Size,,chloe.porras@hassifix.eu
2,ASN Received,"""2019-05-11T02:26:06.000Z""",C-84682,O-7337-48,19,Wrong Size,,chloe.porras@hassifix.eu
2,Item Received,"""2019-05-15T02:26:06.000Z""",C-84682,O-7337-48,19,Wrong Size,,chloe.porras@hassifix.eu
2,Item Inspected,"""2019-05-21T02:26:06.000Z""",C-84682,O-7337-48,19,Wrong Size,Return Accepted,chloe.porras@hassifix.eu
2,Customer Sat,"""2019-05-21T02:30:06.000Z""",C-84682,O-7337-48,19,Wrong Size,Return Accepted,chloe.porras@hassifix.eu
2,Return to Stock,"""2019-05-21T02:37:06.000Z""",C-84682,O-7337-48,19,Wrong Size,Return Accepted,chloe.porras@hassifix.eu
3,RMA Requested,"""2019-03-02T07:57:11.000Z""",C-10459,O-4933-75,16,Wrong Size,,andy.brier@nitrocam.name
3,RMA Issued,"""2019-03-02T08:02:11.000Z""",C-10459,O-4933-75,16,Wrong Size,,andy.brier@nitrocam.name
3,ASN Received,"""2019-03-03T19:02:11.000Z""",C-10459,O-4933-75,16,Wrong Size,,andy.brier@nitrocam.name
3,Item Received,"""2019-03-09T19:02:11.000Z""",C-10459,O-4933-75,16,Wrong Size,,andy.brier@nitrocam.name
3,Item Inspected,"""2019-03-15T19:02:11.000Z""",C-10459,O-4933-75,16,Wrong Size,Return Accepted,andy.brier@nitrocam.name
3,Customer Sat,"""2019-03-15T19:11:11.000Z""",C-10459,O-4933-75,16,Wrong Size,Return Accepted,andy.brier@nitrocam.name
3,Return to Stock,"""2019-03-15T19:13:11.000Z""",C-10459,O-4933-75,16,Wrong Size,Return Accepted,andy.brier@nitrocam.name
4,RMA Requested,"""2019-04-08T07:48:26.000Z""",C-42735,O-3643-38,7,Item is defective,,vaughn.pendergast@fastmart.gov
4,RMA Issued,"""2019-04-08T07:57:26.000Z""",C-42735,O-3643-38,7,Item is defective,,vaughn.pendergast@fastmart.gov
4,ASN Received,"""2019-04-10T05:57:26.000Z""",C-42735,O-3643-38,7,Item is defective,,vaughn.pendergast@fastmart.gov
4,Item Received,"""2019-04-14T05:57:26.000Z""",C-42735,O-3643-38,7,Item is defective,,vaughn.pendergast@fastmart.gov
4,Item Inspected,"""2019-04-18T05:57:26.000Z""",C-42735,O-3643-38,7,Item is defective,Return Accepted,vaughn.pendergast@fastmart.gov
4,Defective Item,"""2019-04-18T05:59:26.000Z""",C-42735,O-3643-38,7,Item is defective,Return Accepted,vaughn.pendergast@fastmart.gov
4,Repair Item,"""2019-04-18T21:59:26.000Z""",C-42735,O-3643-38,7,Item is defective,Return Accepted,vaughn.pendergast@fastmart.gov
4,Fixed,"""2019-04-19T07:59:26.000Z""",C-42735,O-3643-38,7,Item is defective,Return Accepted,vaughn.pendergast@fastmart.gov
4,Return to Customer,"""2019-04-20T00:59:26.000Z""",C-42735,O-3643-38,7,Item is defective,Return Accepted,vaughn.pendergast@fastmart.gov
5,RMA Requested,"""2019-09-07T08:10:34.000Z""",C-46039,O-3738-25,18,Wrong Size,,warren.finn@truext.com
5,RMA Issued,"""2019-09-07T08:20:34.000Z""",C-46039,O-3738-25,18,Wrong Size,,warren.finn@truext.com
5,ASN Received,"""2019-09-08T21:20:34.000Z""",C-46039,O-3738-25,18,Wrong Size,,warren.finn@truext.com
5,Item Received,"""2019-09-12T21:20:34.000Z""",C-46039,O-3738-25,18,Wrong Size,,warren.finn@truext.com
5,Item Inspected,"""2019-09-18T21:20:34.000Z""",C-46039,O-3738-25,18,Wrong Size,Return Accepted,warren.finn@truext.com
5,Customer Sat,"""2019-09-18T21:26:34.000Z""",C-46039,O-3738-25,18,Wrong Size,Return Accepted,warren.finn@truext.com
5,Return to Stock,"""2019-09-18T21:35:34.000Z""",C-46039,O-3738-25,18,Wrong Size,Return Accepted,warren.finn@truext.com
6,RMA Requested,"""2019-06-14T06:48:09.000Z""",C-26687,O-9349-40,17,Wrong Item Shipped,,janett.pickering@omnitouch.me
6,RMA Issued,"""2019-06-14T07:07:09.000Z""",C-26687,O-9349-40,17,Wrong Item Shipped,,janett.pickering@omnitouch.me
6,ASN Received,"""2019-06-15T12:07:09.000Z""",C-26687,O-9349-40,17,Wrong Item Shipped,,janett.pickering@omnitouch.me
6,Item Received,"""2019-06-21T12:07:09.000Z""",C-26687,O-9349-40,17,Wrong Item Shipped,,janett.pickering@omnitouch.me
6,Item Inspected,"""2019-06-26T12:07:09.000Z""",C-26687,O-9349-40,17,Wrong Item Shipped,Return Accepted,janett.pickering@omnitouch.me
6,Customer Sat,"""2019-06-26T12:10:09.000Z""",C-26687,O-9349-40,17,Wrong Item Shipped,Return Accepted,janett.pickering@omnitouch.me
6,Return to Stock,"""2019-06-26T12:15:09.000Z""",C-26687,O-9349-40,17,Wrong Item Shipped,Return Accepted,janett.pickering@omnitouch.me
